#512 values of F as pairs x,F(x)
481,76115575420050328218500291207537317658537739883886356247205572107713028727865
482,94964673252985334561614371631915817858589887230494342010264805412598741934516
483,103771078501891380618344854922343658270002664403297940543248242494158161322988
484,63110927885875672899502628047034810501470971909650052073000429747965861489254
485,15926578210945000722185835796583061036053964370758293906661569135314336402901
486,14116247845550774921970842538088622301979122568762554127341908676675226887620
487,25022015236223329887332591230068743624606295793130981327192807600710981975846
488,99960254336160879776807601506601962376554649008636776209681058659967065992672
489,46015040263719748179956721693045869035170809853072138800842698125327544512552
490,90958299502338966506862407978126807992097551621426259084514481583717045608668
491,6338466706888832233389243074281522597657718932375992071708980613954132769176
492,77805359413775078108346746064134816963848045286829202741777030555952973356471
493,60644413990174483877704867554103802428852514015913102783032273743134833480594
494,96942735996447026285990382863677196482344938172354927832450410697733736738349
495,75118435165522530724789420908174420952497442158703128257692279995455849288634
496,1525278421086122249552910065042381977377811791663480250380613380851115585319
497,89675713325970117111770779578177141988430476946704679990498600414367883179058
498,101585083580904649398942906372312778526419885365106707107122646509877446457884
499,93990476390215017696382439162022921546769221995559743869547182302195116358865
500,67540881846950302003181378672305852637540042249212257152843639655314793357215
501,40468682986835309926412454579045905184170477828630766602673394214600891349481
502,5625355694564268118449555558249033488675700041588989456829117585737605833568
503,71191384092478862626749251922974261164134487005421808616772461751210446852331
504,64702518614039276560156672966037697625494691269113359368375728920160890361816
505,39656566987107297138373325103630386929363824387867737449871723549603980027834
506,83831918029110233920681976874702557620989553165889145185179245820775898877927
507,21286730371123668866523101756494891402770067750117263060861843426078411378082
508,72946038908985213866097215989492790759659279291194618230977176642725802068133
509,93078130120724681265761947316459944040029312449029955112672191598907101426404
510,32367775193000735187605991603857152885020510800379093994976149906330955422090
511,24822144599403066257088869723457989186766812812123359528371142378273629153112
